symbol, name
MGOC.AX, Magellan Global Fund (Open Class) (Managed Fund)
MGR.AX, Mirvac Group  
MGX.AX, Mount Gibson Iron Ltd
MIN.AX, Mineral Resources Ltd
MLT.AX, Milton Corporation Ltd
MND.AX, Monadelphous Group Ltd
MP1.AX, Megaport Ltd
MPL.AX, Medibank Private Ltd
MQG.AX, Macquarie Group Ltd
MSB.AX, Mesoblast Ltd
MTS.AX, Metcash Ltd
MVW.AX, Vaneck Vectors Australian EQUAL Weight ETF
MXT.AX, MCP Master Income Trust
NAB.AX, National Australia Bank Ltd
NAN.AX, Nanosonics Ltd
NCM.AX, Newcrest Mining Ltd
NDQ.AX, Betashares Nasdaq 100 ETF
NEA.AX, Nearmap Ltd
NEC.AX, Nine Entertainment Co. Holdings Ltd
NHC.AX, New Hope Corporation Ltd
NHF.AX, Nib Holdings Ltd
NIC.AX, Nickel Mines Ltd
NSR.AX, National Storage REIT
NST.AX, Northern Star Resources Ltd
NUF.AX, Nufarm Ltd
NWH.AX, NRW Holdings Ltd
NWL.AX, Netwealth Group Ltd
NWS.AX, News Corporation
NXL.AX, NUIX Ltd
NXT.AX, NEXTDC Ltd
OBL.AX, Omni Bridgeway Ltd
OCL.AX, Objective Corporation Ltd
OML.AX, Ooh!Media Ltd
ORA.AX, Orora Ltd
ORE.AX, Orocobre Ltd
ORG.AX, Origin Energy Ltd
ORI.AX, Orica Ltd
OSH.AX, Oil Search Ltd
OZL.AX, OZ Minerals Ltd
PBH.AX, Pointsbet Holdings Ltd
PDL.AX, Pendal Group Ltd
PDN.AX, Paladin Energy Ltd
PGH.AX, Pact Group Holdings Ltd
PLL.AX, Piedmont Lithium Ltd
PLS.AX, Pilbara Minerals Ltd
PME.AX, Pro Medicus Ltd
PMGOLD.AX, Gold
PMV.AX, Premier Investments Ltd  
PNI.AX, Pinnacle Investment Management Group Ltd
PNV.AX, Polynovo Ltd
PPH.AX, Pushpay Holdings Ltd
PPT.AX, Perpetual Ltd
PRU.AX, Perseus Mining Ltd
PSI.AX, PSC Insurance Group Ltd
PTM.AX, Platinum Asset Management Ltd
QAN.AX, Qantas Airways Ltd
QBE.AX, QBE Insurance Group Ltd
QUAL.AX, Vaneck Vectors MSCI World Ex Australia Quality ETF
QUB.AX, QUBE Holdings Ltd
RBD.AX, Restaurant Brands New Zealand Ltd  
RBL.AX, Redbubble Ltd
REA.AX, REA Group Ltd
REH.AX, Reece Ltd
RHC.AX, Ramsay Health Care Ltd
RIO.AX, RIO Tinto Ltd
RMC.AX, Resimac Group Ltd
RMD.AX, Resmed Inc
RMS.AX, Ramelius Resources Ltd  
RRL.AX, Regis Resources Ltd
